Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Customer Name
Second Class,Consumer,United States,San Francisco,California,94109.0,West,Office Supplies,Binders,22.72,4,0.2,7.384,unknown
Standard Class,Corporate,United States,Fremont,Nebraska,68025.0,Central,Office Supplies,Art,19.46,7,0.0,5.0596,unknown
Standard Class,Corporate,United States,Fremont,Nebraska,68025.0,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,unknown
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Furniture,Chairs,71.372,2,0.3,-1.0196,unknown
Standard Class,Consumer,United States,Orem,Utah,84057.0,West,Furniture,Tables,1044.63,3,0.0,240.2649,unknown
Second Class,Consumer,United States,Los Angeles,California,90049.0,West,Office Supplies,Binders,11.648,2,0.2,4.2224,unknown
Second Class,Consumer,United States,Los Angeles,California,90049.0,West,Technology,Accessories,90.57,3,0.0,11.7741,unknown
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,unknown
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,unknown
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Furniture,Furnishings,124.2,3,0.2,15.525,unknown
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,unknown
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Art,86.304,6,0.2,9.7092,unknown
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Binders,6.858,6,0.7,-5.715,unknown
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Art,15.76,2,0.2,3.546,unknown
Second Class,Home Office,United States,Houston,Texas,77095.0,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,unknown
First Class,Corporate,United States,Richardson,Texas,75080.0,Central,Technology,Phones,1097.544,7,0.2,123.4737,unknown
First Class,Corporate,United States,Richardson,Texas,75080.0,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,unknown
Standard Class,Home Office,United States,Houston,Texas,77041.0,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,unknown
Standard Class,Home Office,United States,Houston,Texas,77041.0,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,unknown
Standard Class,Home Office,United States,Houston,Texas,77041.0,Central,Furniture,Chairs,212.058,3,0.3,-15.147,unknown
Standard Class,Home Office,United States,Houston,Texas,77041.0,Central,Technology,Phones,371.168,4,0.2,41.7564,unknown
Standard Class,Corporate,United States,Naperville,Illinois,60540.0,Central,Technology,Phones,147.168,4,0.2,16.5564,unknown
Standard Class,Corporate,United States,Los Angeles,California,90049.0,West,Office Supplies,Storage,77.88,2,0.0,3.894,unknown
Standard Class,Corporate,United States,Melbourne,Florida,32935.0,South,Office Supplies,Storage,95.616,2,0.2,9.5616,unknown
First Class,Corporate,United States,Eagan,Minnesota,55122.0,Central,Technology,Accessories,45.98,2,0.0,19.7714,unknown
First Class,Corporate,United States,Eagan,Minnesota,55122.0,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,unknown
Second Class,Consumer,United States,Westland,Michigan,48185.0,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,unknown
Standard Class,Consumer,United States,Dover,Delaware,19901.0,East,Technology,Accessories,45.0,3,0.0,4.95,unknown
Standard Class,consumer,United States,Dover,Delaware,19901.0,East,Technology,Phones,21.8,2,0.0,6.104,unknown
Standard Class,Consumer,United States,New Albany,Indiana,47150.0,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,unknown
Standard Class,Consumer,United States,New Albany,Indiana,47150.0,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,unknown
Standard Class,Consumer,United States,New Albany,Indiana,47150.0,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,unknown
Standard Class,Consumer,United States,New Albany,Indiana,47150.0,Central,Furniture,Chairs,89.99,1,0.0,17.0981,unknown
Standard Class,Corporate,United States,New York City,New York,10024.0,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,unknown
Standard Class,Corporate,United States,New York City,New York,10024.0,East,Technology,Phones,1029.95,5,0.0,298.6855,unknown
First Class,Consumer,United States,Troy,New York,12180.0,East,Office Supplies,Storage,208.56,6,0.0,52.14,unknown
First Class,Consumer,United States,Troy,New York,12180.0,East,Office Supplies,Paper,32.4,5,0.0,15.552,unknown
First Class,Consumer,United States,Troy,New York,12180.0,East,Furniture,Chairs,319.41,5,0.1,7.098,unknown
First Class,Consumer,United States,Troy,New York,12180.0,East,Office Supplies,Paper,14.56,2,0.0,6.9888,unknown
First Class,Consumer,United States,Troy,New York,12180.0,East,Technology,Accessories,30.0,2,0.0,3.3,unknown
First Class,Consumer,United States,Troy,New York,12180.0,East,Office Supplies,Binders,48.48,4,0.2,16.362,unknown
First Class,Consumer,United States,Troy,New York,12180.0,East,Office Supplies,Art,1.68,1,0.0,0.84,unknown
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Technology,Accessories,13.98,2,0.0,6.1512,unknown
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Office Supplies,Binders,25.824,6,0.2,9.3612,unknown
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Office Supplies,Paper,146.73,3,0.0,68.9631,unknown
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Furniture,Furnishings,79.76,4,0.0,22.3328,unknown
Standard Class,Home Office,United States,Chicago,Illinois,60610.0,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,unknown
Standard Class,Corporate,United States,Gilbert,Arizona,85234.0,West,Office Supplies,Art,1113.024,8,0.2,111.3024,unknown
Standard Class,Corporate,United States,Gilbert,Arizona,85234.0,West,Technology,Phones,167.968,4,0.2,62.988,unknown
First Class,Consumer,United States,Springfield,Virginia,22153.0,South,Office Supplies,Paper,75.88,2,0.0,35.6636,unknown
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Office Supplies,Binders,54.816,1,0.2,1.731,unknown
Second Class,Consumer,United States,Jackson,Michigan,49201.0,Central,Office Supplies,Paper,19.05,3,0.0,8.763,unknown
Standard Class,Consumer,United States,Memphis,Tennessee,38109.0,South,Furniture,Chairs,831.936,8,0.2,-114.3912,unknown
Standard Class,Consumer,United States,Memphis,Tennessee,38109.0,South,Office Supplies,Storage,72.784,1,0.2,-18.196,unknown
First Class,Corporate,United States,Houston,Texas,77041.0,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,unknown
First Class,Corporate,United States,Houston,Texas,77041.0,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,unknown
First Class,Corporate,United States,Houston,Texas,77041.0,Central,Office Supplies,Storage,27.24,3,0.2,2.724,unknown
Second Class,Consumer,United States,Houston,Texas,77070.0,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,unknown
First Class,Corporate,United States,Decatur,Alabama,35601.0,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,unknown
First Class,Corporate,United States,Decatur,Alabama,35601.0,South,Office Supplies,Binders,16.74,3,0.0,8.0352,unknown
Standard Class,Consumer,United States,San Francisco,California,94122.0,West,Office Supplies,Art,14.9,5,0.0,4.172,unknown
Standard Class,Consumer,United States,San Francisco,California,94122.0,West,Office Supplies,Storage,21.39,1,0.0,6.2031,unknown
Standard Class,Corporate,United States,Durham,North Carolina,27707.0,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,unknown
First Class,Home Office,United States,Chicago,Illinois,60623.0,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,unknown
Second Class,Consumer,United States,Columbia,South Carolina,29203.0,South,Furniture,Chairs,301.96,2,0.0,33.2156,unknown
Standard Class,Consumer,United States,Rochester,Minnesota,55901.0,Central,Technology,Accessories,19.99,1,0.0,6.7966,unknown
Standard Class,Consumer,United States,Rochester,Minnesota,55901.0,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,unknown
Second Class,Home Office,United States,Houston,Texas,77095.0,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,unknown
Standard Class,Corporate,United States,Los Angeles,California,90036.0,West,Office Supplies,Art,20.1,3,0.0,6.633,unknown
Standard Class,Corporate,United States,Los Angeles,California,90036.0,West,Technology,Phones,73.584,2,0.2,8.2782,unknown
Standard Class,Corporate,United States,Los Angeles,California,90036.0,West,Office Supplies,Paper,6.48,1,0.0,3.1104,unknown
Second Class,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,unknown
Second Class,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,unknown
Second Class,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,unknown
Standard Class,Home Office,United States,Portland,Oregon,97206.0,West,Office Supplies,Binders,5.682,1,0.7,-3.788,unknown
Second Class,Home Office,United States,New York City,New York,10009.0,East,Furniture,Furnishings,96.53,7,0.0,40.5426,unknown
First Class,Consumer,United States,San Francisco,California,94122.0,West,Office Supplies,Binders,51.312,3,0.2,17.9592,unknown
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106.0,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,unknown
Standard Class,Home Office,United States,Chicago,Illinois,60610.0,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,unknown
Standard Class,Home Office,United States,Chicago,Illinois,60610.0,Central,Technology,Accessories,95.976,3,0.2,-10.7973,unknown
Standard Class,Home Office,United States,Chicago,Illinois,60610.0,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,unknown
Second Class,Consumer,United States,Rochester,Minnesota,55901.0,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,unknown
Standard Class,Consumer,United States,Aurora,Colorado,80013.0,West,Technology,Accessories,238.896,6,0.2,-26.8758,unknown
Standard Class,Consumer,United States,Aurora,Colorado,80013.0,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,unknown
Standard Class,Consumer,United States,Aurora,Colorado,80013.0,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,unknown
Standard Class,Consumer,United States,Charlotte,North Carolina,28205.0,South,Technology,Accessories,74.112,8,0.2,17.6016,unknown
Standard Class,Consumer,United States,Charlotte,North Carolina,28205.0,South,Technology,Phones,27.992,1,0.2,2.0994,unknown
Standard Class,Consumer,United States,Charlotte,North Carolina,28205.0,South,Office Supplies,Art,3.304,1,0.2,1.0738,unknown
Standard Class,Home Office,United States,Orland Park,Illinois,60462.0,Central,Technology,Accessories,339.96,5,0.2,67.992,unknown
Standard Class,Corporate,United States,New York City,New York,10035.0,East,Furniture,Furnishings,41.96,2,0.0,10.9096,unknown
Standard Class,Consumer,United States,Urbandale,Iowa,50322.0,Central,Office Supplies,Art,75.96,2,0.0,22.788,unknown
Standard Class,Consumer,United States,Urbandale,Iowa,50322.0,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,unknown
Second Class,Consumer,United States,Columbus,Ohio,43229.0,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,unknown
Second Class,Consumer,United States,Columbus,Ohio,43229.0,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,unknown
Second Class,Consumer,United States,Columbus,Ohio,43229.0,East,Office Supplies,Paper,23.976,3,0.2,7.4925,unknown
Second Class,Consumer,United States,Columbus,Ohio,43229.0,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,unknown
Standard Class,Consumer,United States,Seattle,Washington,98103.0,West,Furniture,Tables,787.53,3,0.0,165.3813,unknown
Standard Class,Corporate,United States,Bristol,Tennessee,37620.0,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,unknown
First Class,Consumer,United States,Wilmington,Delaware,19805.0,East,Furniture,Furnishings,47.04,3,0.0,18.3456,unknown
First Class,Consumer,United States,Wilmington,Delaware,19805.0,East,Office Supplies,Binders,30.84,4,0.0,13.878,unknown
First Class,Consumer,United States,Wilmington,Delaware,19805.0,East,Office Supplies,Storage,226.56,6,0.0,63.4368,unknown
First Class,Consumer,United States,Wilmington,Delaware,19805.0,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,unknown
First Class, Consumer ,United States,Wilmington,Delaware,19805.0,East,Technology,Phones,68.04,7,0.0,19.7316,unknown
Second Class,Home Office,United States,Houston,Texas,77041.0,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,unknown
Standard Class,Consumer,United States,Bloomington,Illinois,61701.0,Central,Furniture,Tables,617.7,6,0.5,-407.682,unknown
Standard Class,Consumer,United States,Phoenix,Arizona,85023.0,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,unknown
Standard Class,Consumer,United States,Phoenix,Arizona,85023.0,West,Office Supplies,Storage,243.992,7,0.2,30.499,unknown
Second Class,Home Office,United States,Los Angeles,California,90004.0,West,Furniture,Chairs,81.424,2,0.2,-9.1602,unknown
Second Class,Home Office,United States,Los Angeles,California,90004.0,West,Furniture,Furnishings,238.56,3,0.0,26.2416,unknown
First Class,Corporate,United States,Columbus,Ohio,43229.0,East,Technology,Phones,59.97,5,0.4,-11.994,unknown
First Class,Corporate,United States,Columbus,Ohio,43229.0,East,Office Supplies,Paper,78.304,2,0.2,29.364,unknown
First Class,Corporate,United States,Columbus,Ohio,43229.0,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,unknown
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Office Supplies,Paper,20.04,3,0.0,9.6192,unknown
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Office Supplies,Paper,35.44,1,0.0,16.6568,unknown
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Office Supplies,Art,11.52,4,0.0,3.456,unknown
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,unknown
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Office Supplies,Binders,76.176,3,0.2,26.6616,unknown
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,unknown
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Furniture,Furnishings,43.12,14,0.0,20.6976,unknown
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,Furniture,Furnishings,82.8,2,0.2,10.35,unknown
Standard Class,Corporate,United States,San Francisco,California,94122.0,West,Office Supplies,Art,8.82,3,0.0,2.3814,unknown
Standard Class,Corporate,United States,San Francisco,California,94122.0,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,unknown
Standard Class,Corporate,United States,San Francisco,California,94122.0,West,Office Supplies,Paper,143.7,3,0.0,68.976,unknown
Standard Class,Consumer,United States,Independence,Missouri,64055.0,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,unknown
Standard Class,Consumer,United States,Pasadena,California,91104.0,West,Office Supplies,Storage,671.93,7,0.0,20.1579,unknown
Standard Class,Home Office,United States,Newark,Ohio,43055.0,East,Furniture,Furnishings,93.888,4,0.2,12.9096,unknown
Standard Class,Corporate,United States,Franklin,Wisconsin,53132.0,Central,Technology,Phones,384.45,11,0.0,103.8015,unknown
Standard Class,Corporate,United States,Franklin,Wisconsin,53132.0,Central,Technology,Phones,149.97,3,0.0,5.9988,unknown
Standard Class,Corporate,United States,Franklin,Wisconsin,53132.0,Central,Furniture,Chairs,1951.84,8,0.0,585.552,unknown
Standard Class,Corporate,United States,Franklin,Wisconsin,53132.0,Central,Office Supplies,Binders,171.55,5,0.0,80.6285,unknown
First Class,Home Office,United States,Scottsdale,Arizona,85254.0,West,Office Supplies,Appliances,157.92,5,0.2,17.766,unknown
First Class,Home Office,United States,Scottsdale,Arizona,85254.0,West,Technology,Phones,203.184,2,0.2,15.2388,unknown
First Class,Corporate,United States,San Jose,California,95123.0,West,Office Supplies,Paper,58.38,7,0.0,26.271,unknown
First Class,Corporate,United States,San Jose,California,95123.0,West,Office Supplies,Paper,105.52,4,0.0,48.5392,unknown
First Class,Corporate,United States,San Jose,California,95123.0,West,Office Supplies,Storage,80.88,6,0.0,21.0288,unknown
Standard Class,Home Office,United States,Seattle,Washington,98105.0,West,Office Supplies,Art,6.63,3,0.0,1.7901,unknown
Second Class,Consumer,United States,Seattle,Washington,98115.0,West,Furniture, Chairs ,457.568,2,0.2,51.4764,unknown
Standard Class,Consumer,United States,Edmond,Oklahoma,73034.0,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,unknown
Standard Class,Consumer,United States,Edmond,Oklahoma,73034.0,Central,Technology,Phones,944.93,7,0.0,236.2325,unknown
First Class,Consumer,United States,Los Angeles,California,90045.0,West,Office Supplies,Paper,5.98,1,0.0,2.691,unknown
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Accessories,54.384,2,0.2,1.3596,unknown
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220.0,West,Office Supplies,Envelopes,28.4,5,0.0,13.348,unknown
Standard Class,Consumer,United States,Seattle,Washington,98115.0,West,Office Supplies,Binders,27.68,2,0.2,9.688,unknown
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Office Supplies,Art,9.936,3,0.2,2.7324,unknown
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Technology,Machines,8159.952,8,0.4,-1359.992,unknown
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347,unknown
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Furniture,Chairs,1740.06,9,0.3,-24.858,unknown
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Office Supplies,Art,32.064,6,0.2,6.8136,unknown
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849,unknown
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Technology,Phones,143.976,3,0.2,8.9985,unknown
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Office Supplies,Paper,20.94,3,0.0,9.8418,unknown
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Office Supplies,Paper,110.96,2,0.0,53.2608,unknown
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Furniture,Chairs,340.144,7,0.2,21.259,unknown
Standard Class,Corporate,United States,Chicago,Illinois,60623.0,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12,unknown
Standard Class,Corporate,United States,Chicago,Illinois,60623.0,Central,Office Supplies,Labels,20.16,4,0.2,6.552,unknown
Second Class,Consumer,United States,Houston,Texas,77036.0,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16,unknown
Second Class,Consumer,United States,Newark,Ohio,43055.0,East,Furniture,Chairs,396.802,7,0.3,-11.3372,unknown
Second Class,Consumer,United States,Newark,Ohio,43055.0,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715,unknown
Standard Class,Home Office,United States,New York City,New York,10009.0,East,Office Supplies,Art,3.28,1,0.0,1.4104,unknown
Second Class,Corporate,United States,Decatur,Illinois,62521.0,Central,Office Supplies,Storage,24.816,2,0.2,1.8612,unknown
Second Class,Corporate,United States,Decatur,Illinois,62521.0,Central,Technology,Accessories,408.744,7,0.2,76.6395,unknown
Second Class,Home Office,United States,Monroe,Louisiana,71203.0,South,Technology,Phones,503.96,4,0.0,131.0296,unknown
Second Class,Home Office,United States,Monroe,Louisiana,71203.0,South,Technology,Phones,149.95,5,0.0,41.986,unknown
Second Class,Home Office,United States,Monroe,Louisiana,71203.0,South,Technology,Accessories,29.0,2,0.0,7.25,unknown
Standard Class,Consumer,United States,Fairfield,Connecticut,6824.0,East,Office Supplies,Binders,7.16,2,0.0,3.4368,unknown
Standard Class,Home Office,United States,Los Angeles,California,90032.0,West,Technology,Accessories,176.8,8,0.0,22.984,unknown
Standard Class,Corporate,United States,Grand Prairie,Texas,75051.0,Central,Office Supplies,Storage,37.224,3,0.2,3.7224,unknown
Standard Class,Corporate,United States,Grand Prairie,Texas,75051.0,Central,Office Supplies,Paper,20.016,3,0.2,6.255,unknown
First Class,Home Office,United States,New York City,New York,10035.0,East,Furniture,Bookcases,899.136,4,0.2,112.392,unknown
First Class,Home Office,United States,New York City,New York,10035.0,East,Technology,Phones,71.76,6,0.0,20.0928,unknown
First Class,Home Office,United States,New York City,New York,10035.0,East,Office Supplies,Paper,51.84,8,0.0,24.8832,unknown
First Class,Home Office,United States,New York City,New York,10035.0,East,Furniture,Bookcases,626.352,3,0.2,46.9764,unknown
First Class,Home Office,United States,New York City,New York,10035.0,East,Office Supplies,Art,19.9,5,0.0,6.567,unknown
Standard Class,Corporate,United States,Redlands,California,92374.0,West,Office Supplies,Envelopes,14.28,7,0.0,6.7116,unknown
Standard Class,Consumer,United States,Hamilton,Ohio,45011.0,East,Office Supplies,Art,7.408,2,0.2,1.2038,unknown
Standard Class,Consumer,United States,Hamilton,Ohio,45011.0,East,Office Supplies,Art,6.048,3,0.2,1.5876,unknown
Standard Class,Home Office,United States,Westfield,New Jersey,7090.0,East,Office Supplies,Storage,46.26,3,0.0,12.0276,unknown
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120.0,East,Office Supplies,Binders,2.946,2,0.7,-2.2586,unknown
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120.0,East,Office Supplies,Paper,16.056,3,0.2,5.8203,unknown
Standard Class,Consumer,United States,Akron,Ohio,44312.0,East,Office Supplies,Paper,21.744,3,0.2,6.795,unknown
First Class,Consumer,United States,Denver,Colorado,80219.0,West,Furniture,Tables,218.75,2,0.5,-161.875,unknown
First Class,Consumer,United States,Denver,Colorado,80219.0,West,Office Supplies,Appliances,2.6,1,0.2,0.2925,unknown
Second Class,Consumer,United States,Dallas,Texas,75220.0,Central,Office Supplies,Appliances,66.284,2,0.8,-178.9668,unknown
Standard Class,Corporate,United States,Franklin,Tennessee,37064.0,South,Furniture,Furnishings,35.168,7,0.2,9.6712,unknown
Standard Class,Consumer,United States,Whittier,California,90604.0,West,Technology,Phones,444.768,4,0.2,44.4768,unknown
Standard Class,Consumer,United States,Saginaw,Michigan,48601.0,Central,Office Supplies,Storage,83.92,4,0.0,5.8744,unknown
Standard Class,Consumer,United States,Saginaw,Michigan,48601.0,Central,Technology,Phones,131.98,2,0.0,35.6346,unknown
Standard Class,Consumer,United States,Saginaw,Michigan,48601.0,Central,Office Supplies,Binders,15.92,4,0.0,7.4824,unknown
Standard Class,Consumer,United States,Saginaw,Michigan,48601.0,Central,Office Supplies,Fasteners,52.29,9,0.0,16.2099,unknown
Standard Class,Consumer,United States,Saginaw,Michigan,48601.0,Central,Office Supplies,Storage,91.99,1,0.0,3.6796,unknown
Second Class,Corporate,United States,Dallas,Texas,75220.0,Central,Technology,Accessories,20.8,2,0.2,6.5,unknown
Standard Class,Corporate,United States,Medina,Ohio,44256.0,East,Office Supplies,Labels,23.68,2,0.2,8.88,unknown
Standard Class,Corporate,United States,Medina,Ohio,44256.0,East,Furniture,Bookcases,452.45,5,0.5,-244.323,unknown
Standard Class,Corporate,United States,Medina,Ohio,44256.0,East,Technology,Phones,62.982,3,0.4,-14.6958,unknown
Standard Class,Corporate,United States,Medina,Ohio,44256.0,East,Technology,Machines,1188.0,9,0.7,-950.4,unknown
Standard Class,Corporate,United States,Medina,Ohio,44256.0,East,Technology,Accessories,89.584,2,0.2,4.4792,unknown
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Office Supplies,Storage,93.06,6,0.0,26.0568,unknown
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Technology,Phones,302.376,3,0.2,22.6782,unknown
First Class,Consumer,United States,Dublin,Ohio,43017.0,East,Office Supplies,Fasteners,5.584,2,0.2,1.8148,unknown
Standard Class,Consumer,United States,Dublin,Ohio,43017.0,East,Office Supplies,Paper,22.704,6,0.2,8.2302,unknown
First Class,Consumer,United States,Dublin,Ohio,43017.0,East,Office Supplies,Binders,19.776,4,0.7,-13.8432,unknown
First Class,Consumer,United States,Dublin,Ohio,43017.0,East,Furniture,Furnishings,72.704,4,0.2,19.0848,unknown
First Class,Consumer,United States,Dublin,Ohio,43017.0,East,Technology,Machines,479.988,4,0.7,-383.9904,unknown
First Class,Consumer,United States,Dublin,Ohio,43017.0,East,Office Supplies,Art,27.168,2,0.2,2.7168,unknown
Standard Class,Corporate,United States,Detroit,Michigan,48227.0,Central,Office Supplies,Art,2.2,1,0.0,0.968,unknown
Standard Class,Corporate,United States,Detroit,Michigan,48227.0,Central,Furniture,Tables,622.45,5,0.0,136.939,unknown
Standard Class,Corporate,United States,Detroit,Michigan,48227.0,Central,Office Supplies,Storage,21.98,1,0.0,0.2198,unknown
Standard Class,Consumer,United States,Columbia,Tennessee,38401.0,South,Furniture,Chairs,161.568,2,0.2,-28.2744,unknown
Standard Class,Consumer,United States,Columbia,Tennessee,38401.0,South,Furniture,Chairs,389.696,8,0.2,43.8408,unknown
Standard Class,Corporate,United States,Charlotte,North Carolina,28205.0,South,Office Supplies,Binders,18.648,7,0.7,-12.432,unknown
Standard Class,Home Office,United States,Tampa,Florida,33614.0,South,Furniture,Tables,233.86,2,0.45,-102.048,unknown
